EMOTION100_001|eQusodesyo.
EMOTION100_002|syuvaitsaawamyinaraubekyinyiNgeNdes.
EMOTION100_003|deevyissaNwatotemotskareteiruyoonyimyieru.
EMOTION100_004|sutyiivuwajyeeNkarategamyiomoraQta.
EMOTION100_005|kanojyowamootsarutoyabeetooveNtoiQta,koteNhanosaQkyokkagaskyida.
EMOTION100_006|storaQtofoodooNeivoNwa,syeiksupyianoumaretatokorodesuga,maitosyiookunokaNkookyakugaotozuremas.
EMOTION100_007|karewapyuumaonarasunonyi,ooinyihoneooQta.
EMOTION100_008|karegakaikosarerutowamyoonahanasyida.
EMOTION100_009|kuryisuwavaMpaianaitootaosyta.
EMOTION100_010|karenoadanawaiietemyoodayone.
EMOTION100_011|itaryiaryokoodekarewa,iktskakeesyoonocytosyteyuumeenatosy,tatoeba,naporyiyafyireNtseootozureta.
EMOTION100_012|zerotoyuugaineNwa,hyiNduubuNkanyiyuraisyteiru.
EMOTION100_013|sonoitazuramusumewananyikuwanukaoosyta.
EMOTION100_014|sumyissaN,pyieerudyubowaogosyookaisyimasuwa,watasyinosyiNyuunano.
EMOTION100_015|doosuNno,konoomyise,kaNQzeNnyikaNkodoryiganaicyaQterujyanai.
EMOTION100_016|cyoojyoonyitsktomyiNnadeyaQhootosakeNda.
EMOTION100_017|aQberuganaQteru.
EMOTION100_018|kanojyowakarenyipyokoNtoojyigyiosyta.
EMOTION100_019|daNsyseetonomeemeega,boosyinyigaQkoonobaQjyiotsketeimas.
EMOTION100_020|hyuuzugatoNda.
EMOTION100_021|watasyiwapopyuraaoNgakuokykytai.
EMOTION100_022|nekowanyaanyaatonaku.
EMOTION100_023|watasyinoicyibaNuenoanyigacycyinomyoodaitosytesonokaigoonyisyuQsekysyta.
EMOTION100_024|karewasysyoonyiiNtabyuusyta.
EMOTION100_025|sonokaisyanokyuusokunaseecyoowa,sonodoktokunaseNryakunyiyorumonodaQta.
EMOTION100_026|watasyiwaitsumomyineraruwootaaomocyiaruiteimas.
EMOTION100_027|kanojyowahaNdobaQguoaketeienokagyiosagasytemyitaga,myitskaranakaQta.
EMOTION100_028|kanojyowastaQfuomatometeikerutoomoimaska?
EMOTION100_029|gyuunyuuwaanatanokaradanyiyoidaroo,mainyicyinoNdahoogaii.
EMOTION100_030|anatawaryuukaNnyinaryikaketeiruka,moQtoomoibyookykamosyiremaseN.
EMOTION100_031|kanojyowasonojyikeNo,ikyiikytosytahyiQcyidebyoosyasyta.
EMOTION100_032|karewamyizukaranosyoogaio,iNdodenobyoonyiNnocyiryoonyisasagerutsumoryida.
EMOTION100_033|kyimyoonaotokode,karewahytokarahanasykakerarenaitokcyiokykanai.
EMOTION100_034|warewarewasonosaMmyakudedocyakunogaidooyatoQta.
EMOTION100_035|kanojyowamuskonyiiedegyoogyiyoksuruyoonyiiQta.
EMOTION100_036|karewaraifuruohyiroiage,soredehyootekyioneraQta.
EMOTION100_037|watasyiwakonohoNnyihaQpyakueNoharaQta.
EMOTION100_038|kyibuNgawaruktenyuuiNsytaga,keQkatekyinyiwataisytakotowanakaQta.
EMOTION100_039|afyinerainotsuryikyijyidesune,eegokaNkeenokomyunoacykocyinyimarucypostosyteimas.
EMOTION100_040|toraberaazucyeQkuogeNkyiNnyikaetekurerunowakonomadogucyideska?
EMOTION100_041|hoNjyitsunoeegawa,sauNdoobumyuujyiQkudegozaimas.
